Soil_Type,Farm_Area_acres,Water_Availability_L_per_week,Irrigation_Type,Fertilizer_Used_kg,Season,Rainfall_mm,Temperature_C,Soil_pH,Crop
Loamy,7.66,1364,Sprinkler,174,Summer,1110,23,7.9,Tomato
Loamy,5.22,475,Sprinkler,73,Kharif,734,31,7.4,Maize
Loamy,1.78,830,Sprinkler,46,Rabi,633,30,7.6,Wheat
Loamy,6.9,1484,Flood,178,Kharif,1018,26,7.5,Maize
Peaty,5.06,1388,Drip,138,Kharif,1157,26,5.6,Rice
Sandy,4.27,506,Sprinkler,171,Kharif,670,28,6.5,Pulses
Peaty,3.17,376,Sprinkler,24,Kharif,862,36,7.2,Maize
Loamy,1.38,895,Flood,190,Kharif,459,29,8.0,Rice
Sandy,3.65,287,Drip,74,Rabi,640,26,6.2,Pulses
Clay,8.41,837,Drip,36,Rabi,714,23,6.6,Onion
Clay,6.51,331,Flood,145,Rabi,904,30,7.3,Cotton
Clay,1.68,722,Rainfed,172,Kharif,701,24,8.3,Rice
Clay,2.75,616,Sprinkler,91,Rabi,344,37,8.4,Maize
Loamy,0.77,368,Rainfed,131,Summer,504,35,8.4,Onion
Loamy,2.71,1374,Sprinkler,58,Kharif,384,25,6.9,Maize
Peaty,9.54,1071,Flood,112,Rabi,942,21,8.0,Pulses
Loamy,5.24,1190,Sprinkler,65,Kharif,506,26,5.9,Cotton
Silty,3.79,584,Flood,34,Kharif,773,35,7.8,Maize
Peaty,0.71,533,Drip,188,Summer,678,20,7.4,Tomato
Sandy,1.79,1479,Sprinkler,136,Rabi,330,29,8.4,Pulses
Sandy,5.63,493,Rainfed,183,Kharif,1002,36,7.2,Pulses
Clay,9.47,1406,Sprinkler,144,Rabi,1052,19,6.4,Rice
Sandy,9.63,1257,Flood,50,Kharif,1117,38,8.3,Maize
Sandy,2.33,760,Rainfed,134,Summer,302,26,7.3,Tomato
Silty,6.86,1299,Rainfed,91,Summer,896,28,5.7,Tomato
Silty,8.26,1083,Rainfed,98,Kharif,897,38,6.4,Rice
Sandy,8.05,238,Rainfed,25,Rabi,668,39,7.9,Pulses
Clay,8.57,417,Sprinkler,105,Summer,1114,26,5.8,Tomato
Sandy,0.67,469,Rainfed,133,Rabi,319,22,6.6,Pulses
Loamy,4.26,289,Drip,116,Summer,132,26,6.8,Tomato
Sandy,7.83,722,Rainfed,167,Summer,948,23,6.5,Onion
Clay,6.98,1483,Rainfed,50,Rabi,549,25,6.5,Rice
Silty,3.29,412,Rainfed,30,Summer,591,19,8.3,Tomato
Peaty,3.62,222,Flood,191,Rabi,604,18,8.3,Pulses
Sandy,6.96,685,Drip,78,Summer,521,31,7.0,Tomato
Silty,6.22,1283,Sprinkler,69,Summer,160,18,6.9,Tomato
Loamy,6.73,478,Sprinkler,135,Kharif,791,30,6.7,Maize
Clay,5.18,1152,Drip,39,Summer,558,33,5.6,Rice
Loamy,3.67,476,Sprinkler,83,Kharif,279,25,6.5,Cotton
Clay,4.17,220,Rainfed,50,Kharif,440,27,6.6,Maize
Silty,2.09,1071,Sprinkler,115,Kharif,1006,32,6.1,Rice
Sandy,1.38,740,Rainfed,186,Rabi,532,30,6.5,Wheat
Peaty,4.15,349,Rainfed,116,Summer,192,32,7.3,Tomato
Silty,1.02,1201,Rainfed,130,Summer,1037,29,7.7,Onion
Peaty,9.13,1042,Rainfed,139,Kharif,484,40,7.0,Cotton
Silty,5.7,1426,Drip,92,Kharif,1146,23,6.5,Rice
Loamy,1.62,748,Flood,137,Kharif,802,33,6.8,Maize
Peaty,9.78,647,Flood,27,Rabi,704,36,7.6,Tomato
Silty,7.19,646,Drip,98,Rabi,1120,32,8.3,Rice
Loamy,6.08,1407,Flood,192,Rabi,249,18,7.7,Wheat
Loamy,6.93,1021,Rainfed,72,Kharif,383,19,7.1,Cotton
Clay,6.68,626,Rainfed,78,Rabi,704,39,7.0,Cotton
Silty,7.6,1194,Flood,185,Summer,630,24,8.1,Tomato
Sandy,5.23,1361,Rainfed,22,Summer,1064,27,6.2,Onion
Sandy,7.18,269,Sprinkler,190,Kharif,138,22,5.9,Pulses
Loamy,4.19,1306,Rainfed,144,Rabi,392,29,7.7,Wheat
Loamy,8.77,824,Flood,184,Summer,1030,25,7.0,Tomato
Sandy,5.61,398,Sprinkler,187,Rabi,429,31,6.2,Pulses
Loamy,3.87,996,Sprinkler,198,Kharif,532,28,6.8,Cotton
Silty,3.71,630,Sprinkler,69,Kharif,311,25,7.5,Cotton
Loamy,4.98,566,Drip,118,Summer,752,22,7.3,Tomato
Silty,4.03,1492,Rainfed,148,Summer,403,20,7.6,Tomato
Sandy,8.94,550,Flood,90,Summer,1122,18,5.5,Pulses
Sandy,7.09,1432,Sprinkler,175,Rabi,582,22,7.4,Rice
Silty,7.56,787,Flood,97,Rabi,757,27,8.5,Onion
Peaty,5.56,1228,Sprinkler,66,Rabi,505,30,5.7,Onion
Peaty,7.95,796,Rainfed,56,Summer,197,25,5.6,Onion
Silty,4.65,967,Flood,118,Summer,681,27,5.8,Onion
Sandy,4.16,1179,Sprinkler,42,Rabi,315,24,8.5,Sugarcane
Peaty,6.89,1304,Drip,116,Summer,1042,31,6.6,Onion
Clay,5.11,1474,Flood,135,Kharif,540,37,7.2,Rice
Clay,6.94,1487,Drip,78,Summer,200,24,6.0,Rice
Peaty,6.79,454,Flood,194,Rabi,546,21,8.0,Sugarcane
Silty,7.26,750,Rainfed,101,Rabi,136,30,7.7,Rice
Silty,6.13,1076,Flood,173,Rabi,870,18,6.7,Rice
Peaty,3.03,533,Sprinkler,133,Summer,1038,24,7.9,Onion
Peaty,9.27,962,Sprinkler,72,Rabi,359,31,8.5,Maize
Silty,2.21,525,Drip,145,Kharif,1028,25,8.4,Rice
Loamy,6.91,720,Sprinkler,196,Kharif,853,24,6.9,Rice
Clay,8.66,953,Flood,111,Summer,1037,33,8.1,Rice
Sandy,2.3,857,Drip,23,Summer,949,27,6.2,Tomato
Sandy,2.85,1089,Drip,164,Rabi,1054,38,7.3,Pulses
Silty,4.16,557,Drip,142,Rabi,1134,30,7.2,Pulses
Sandy,0.5,1151,Flood,43,Kharif,458,29,7.2,Maize
